TIME,VP,RHOB,DT,AI, 
0.62646584,3353.1348,2358.981,298.22841,7909981,
0.62655634,3360.5455,2360.2822,297.57219,7931845.3,
0.62664683,3367.9561,2361.5835,296.916,7953709,
0.62673773,3362.1245,2360.5599,297.43176,7936501.1,
0.62682862,3353.1344,2358.9809,298.22844,7909980,
0.62691981,3346.0384,2357.7317,298.86117,7889062.7,
0.62701101,3342.1052,2357.0388,299.21261,7877471.5,
0.6270999,3385.3393,2364.5887,295.43955,8005261.4,
0.6271888,3428.571,2372.1382,291.66669,8133044.5,
0.62727871,3416.5143,2370.0491,292.69711,8097314.4,
0.62736862,3390.4349,2365.5141,294.94741,8020121.7,
0.62746142,3334.2306,2355.6163,299.96396,7854461,
0.62755422,3284.483,2346.8129,304.46191,7708067.6,
0.62764752,3271.9083,2344.5634,305.63196,7671195.8,
0.62774082,3266.8809,2343.6621,306.10239,7656464.5,
0.62783344,3279.2327,2345.8712,304.95372,7692684.5,
0.62792606,3291.5767,2348.0789,303.80578,7728881.5,
0.62801997,3268.787,2343.9934,305.93874,7662108.1,
0.62811387,3246.0061,2339.9094,308.07088,7595360.5,
0.62820706,3258.1969,2342.1001,306.92252,7631050.2,
0.62830025,3270.386,2344.2905,305.7743,7666735,
0.62839636,3221.0427,2335.3461,310.53135,7522691.1,
0.62849247,3171.6963,2326.4011,315.28869,7378638,
0.62858754,3188.369,2329.4464,313.64855,7427185.9,
0.6286826,3205.0469,2332.4927,312.00791,7475748.5,
0.62877862,3193.5292,2330.392,313.1365,7442194.5,
0.62887464,3175.0015,2327.0068,314.96048,7388250.1,
0.62897143,3162.1452,2324.648,316.24042,7350871.4,
0.62906821,3148.7593,2322.1836,317.5854,7311997.5,
0.62916611,3127.3003,2318.2134,319.77004,7249780.5,
0.62926401,3113.3811,2315.6333,321.19421,7209449,
0.6293619,3113.3811,2315.6333,321.19421,7209449,
0.6294598,3113.3811,2315.6333,321.19421,7209449,
0.6295554,3150.833,2322.5352,317.42123,7318178.9,
0.62965101,3188.2847,2329.437,313.64828,7426908,
0.6297478,3174.5053,2326.9135,315.01337,7386820.4,
0.6298446,3148.7616,2322.184,317.58517,7312004.2,
